filename,filepath,category,area,volume,aabb_volume,compactness,diameter,convexity,eccentricity,A3_0,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D3_0,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D4_0,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9
D00732_7062.obj,normalized_data/Insect/D00732_7062.obj,Insect,0.693,0.005,0.402,13337.079,1.022,0.04,4.716,0.1805,0.192,0.164,0.109,0.093,0.085,0.074,0.054,0.034,0.0145,0.0865,0.5005,0.229,0.111,0.055,0.018,0.0,0.0,0.0,0.0,0.235,0.351,0.2585,0.113,0.0365,0.006,0.0,0.0,0.0,0.0,0.202,0.455,0.244,0.08,0.0155,0.003,0.0005,0.0,0.0,0.0,0.3625,0.502,0.1185,0.016,0.001,0.0,0.0,0.0,0.0,0.0
m15_5857.obj,normalized_data/Insect/m15_5857.obj,Insect,0.716,-0.002,0.049,104428.092,1.075,-0.128,1163.983,0.2645,0.183,0.1255,0.0915,0.071,0.0655,0.042,0.0475,0.057,0.0525,0.121,0.2225,0.288,0.245,0.096,0.0275,0.0,0.0,0.0,0.0,0.1335,0.273,0.2735,0.163,0.1005,0.0435,0.0125,0.0005,0.0,0.0,0.121,0.3485,0.312,0.155,0.0535,0.0095,0.0005,0.0,0.0,0.0,0.826,0.1685,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00180_6279.obj,normalized_data/Insect/D00180_6279.obj,Insect,0.847,-0.01,0.371,6267.767,1.005,-0.07,3.063,0.154,0.182,0.1715,0.1425,0.1235,0.09,0.06,0.04,0.0245,0.012,0.007,0.2745,0.4215,0.1895,0.0755,0.032,0.0,0.0,0.0,0.0,0.1315,0.2175,0.2615,0.2355,0.1245,0.029,0.0005,0.0,0.0,0.0,0.0865,0.276,0.291,0.2005,0.1045,0.036,0.005,0.0005,0.0,0.0,0.21,0.3685,0.267,0.124,0.027,0.0035,0.0,0.0,0.0,0.0
D00753_7301.obj,normalized_data/Insect/D00753_7301.obj,Insect,1.234,-0.014,0.216,9711.771,1.052,-0.113,4.011,0.143,0.2015,0.177,0.132,0.127,0.077,0.0665,0.0425,0.0245,0.009,0.075,0.2455,0.4535,0.163,0.025,0.028,0.01,0.0,0.0,0.0,0.1125,0.29,0.2795,0.226,0.0705,0.017,0.004,0.0005,0.0,0.0,0.095,0.2845,0.316,0.2105,0.0765,0.0165,0.001,0.0,0.0,0.0,0.179,0.461,0.2625,0.0835,0.013,0.001,0.0,0.0,0.0,0.0
m22_7632.obj,normalized_data/Insect/m22_7632.obj,Insect,1.055,0.033,0.295,1109.633,1.038,0.187,5.082,0.115,0.21,0.1845,0.144,0.1195,0.0935,0.064,0.0445,0.0175,0.0075,0.0335,0.343,0.3645,0.134,0.082,0.043,0.0,0.0,0.0,0.0,0.0845,0.2845,0.3275,0.1935,0.081,0.0225,0.0055,0.001,0.0,0.0,0.0385,0.256,0.3845,0.2355,0.0705,0.013,0.002,0.0,0.0,0.0,0.1235,0.4105,0.347,0.1015,0.017,0.0005,0.0,0.0,0.0,0.0
D00734_5164.obj,normalized_data/Insect/D00734_5164.obj,Insect,0.787,0.012,0.277,3389.82,1.039,0.074,4.062,0.112,0.2055,0.2,0.154,0.1075,0.085,0.063,0.0415,0.021,0.0105,0.086,0.426,0.228,0.118,0.1065,0.0355,0.0,0.0,0.0,0.0,0.1205,0.3075,0.3215,0.161,0.0695,0.016,0.004,0.0,0.0,0.0,0.0845,0.313,0.3515,0.182,0.0525,0.014,0.002,0.0005,0.0,0.0,0.1565,0.4515,0.296,0.0865,0.0085,0.001,0.0,0.0,0.0,0.0
m11_5839.obj,normalized_data/Insect/m11_5839.obj,Insect,0.635,0.002,0.041,104393.888,1.013,0.128,1184.057,0.262,0.1825,0.1165,0.085,0.078,0.0655,0.0635,0.053,0.0555,0.0385,0.14,0.256,0.303,0.2155,0.0795,0.006,0.0,0.0,0.0,0.0,0.153,0.3055,0.2685,0.1695,0.0805,0.021,0.002,0.0,0.0,0.0,0.1505,0.3775,0.283,0.1475,0.0395,0.002,0.0,0.0,0.0,0.0,0.8555,0.14,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D00814_7910.obj,normalized_data/Insect/D00814_7910.obj,Insect,1.107,0.004,0.172,95750.725,1.166,0.054,55.244,0.201,0.1975,0.15,0.1215,0.0815,0.069,0.0555,0.0525,0.0505,0.021,0.035,0.1955,0.2115,0.2505,0.1875,0.08,0.04,0.0,0.0,0.0,0.084,0.1865,0.2255,0.2025,0.1525,0.095,0.0465,0.0075,0.0,0.0,0.071,0.208,0.2675,0.211,0.139,0.0685,0.0295,0.0055,0.0,0.0,0.2225,0.3935,0.319,0.0625,0.0025,0.0,0.0,0.0,0.0,0.0
D00160_7727.obj,normalized_data/Insect/D00160_7727.obj,Insect,1.371,0.063,0.243,646.685,1.022,0.513,10.382,0.1255,0.2075,0.1955,0.159,0.1105,0.086,0.0545,0.037,0.0175,0.007,0.008,0.1295,0.2985,0.4515,0.0945,0.018,0.0,0.0,0.0,0.0,0.0645,0.191,0.2395,0.236,0.195,0.064,0.0095,0.0005,0.0,0.0,0.025,0.145,0.2985,0.3065,0.1585,0.0595,0.007,0.0,0.0,0.0,0.077,0.322,0.3995,0.1825,0.019,0.0,0.0,0.0,0.0,0.0
D00136_8536.obj,normalized_data/Insect/D00136_8536.obj,Insect,1.365,-0.008,0.254,43110.452,1.054,-0.06,5.524,0.141,0.1935,0.193,0.136,0.1125,0.085,0.064,0.045,0.0215,0.0085,0.009,0.3945,0.3755,0.1295,0.0225,0.0305,0.037,0.0015,0.0,0.0,0.1035,0.3565,0.261,0.1305,0.076,0.044,0.025,0.0035,0.0,0.0,0.05,0.2985,0.379,0.1755,0.07,0.0185,0.008,0.0005,0.0,0.0,0.1305,0.4645,0.3045,0.0885,0.0105,0.0015,0.0,0.0,0.0,0.0
m24_7143.obj,normalized_data/Insect/m24_7143.obj,Insect,1.186,0.036,0.372,1279.638,1.038,0.184,6.874,0.134,0.2095,0.1745,0.1325,0.0995,0.0895,0.0725,0.0515,0.029,0.0075,0.071,0.221,0.2655,0.276,0.1185,0.042,0.006,0.0,0.0,0.0,0.0785,0.253,0.2625,0.2225,0.122,0.053,0.0085,0.0,0.0,0.0,0.026,0.2265,0.3205,0.2635,0.1195,0.0325,0.0105,0.001,0.0,0.0,0.1035,0.387,0.3375,0.1445,0.0265,0.001,0.0,0.0,0.0,0.0
D00117_5090.obj,normalized_data/Insect/D00117_5090.obj,Insect,1.259,0.021,0.34,4491.525,1.02,0.123,4.624,0.128,0.213,0.179,0.1255,0.1155,0.094,0.0645,0.051,0.021,0.0085,0.0255,0.414,0.2785,0.1705,0.0645,0.047,0.0,0.0,0.0,0.0,0.1075,0.325,0.2835,0.168,0.077,0.035,0.004,0.0,0.0,0.0,0.059,0.307,0.3715,0.185,0.056,0.016,0.005,0.0005,0.0,0.0,0.152,0.48,0.283,0.0755,0.0085,0.001,0.0,0.0,0.0,0.0
D00989_5378.obj,normalized_data/Insect/D00989_5378.obj,Insect,0.683,0.018,0.15,1002.602,1.013,0.258,16.775,0.1645,0.2065,0.1675,0.1275,0.0945,0.0765,0.0625,0.0455,0.04,0.015,0.0745,0.324,0.3265,0.2175,0.0515,0.006,0.0,0.0,0.0,0.0,0.113,0.33,0.307,0.1685,0.059,0.02,0.0025,0.0,0.0,0.0,0.0635,0.3725,0.37,0.1515,0.036,0.0065,0.0,0.0,0.0,0.0,0.1835,0.541,0.252,0.023,0.0005,0.0,0.0,0.0,0.0,0.0
m0_5001.obj,normalized_data/Insect/m0_5001.obj,Insect,0.747,0.01,0.314,3911.833,1.179,0.067,9.928,0.182,0.2245,0.149,0.118,0.0825,0.0745,0.057,0.0575,0.037,0.018,0.1475,0.2425,0.2585,0.239,0.0655,0.0315,0.0155,0.0,0.0,0.0,0.1125,0.2865,0.2865,0.179,0.0905,0.029,0.0135,0.0025,0.0,0.0,0.072,0.324,0.334,0.1825,0.064,0.022,0.001,0.0005,0.0,0.0,0.1895,0.504,0.2415,0.059,0.0055,0.0005,0.0,0.0,0.0,0.0
D00662_7463.obj,normalized_data/Insect/D00662_7463.obj,Insect,0.935,0.009,0.34,10306.556,1.062,0.067,4.398,0.1435,0.1915,0.1665,0.144,0.115,0.0955,0.065,0.0475,0.0265,0.005,0.096,0.348,0.351,0.1175,0.075,0.0125,0.0,0.0,0.0,0.0,0.1905,0.3595,0.281,0.131,0.033,0.0025,0.0025,0.0,0.0,0.0,0.1115,0.4485,0.312,0.105,0.0185,0.0045,0.0,0.0,0.0,0.0,0.2365,0.5345,0.1965,0.029,0.0035,0.0,0.0,0.0,0.0,0.0
D00430_7307.obj,normalized_data/Insect/D00430_7307.obj,Insect,1.905,-0.04,0.39,4411.732,1.202,-0.228,11.25,0.153,0.206,0.15,0.133,0.1165,0.079,0.064,0.053,0.0305,0.015,0.042,0.1705,0.326,0.163,0.156,0.106,0.0365,0.0,0.0,0.0,0.075,0.1925,0.251,0.2185,0.141,0.09,0.0285,0.0035,0.0,0.0,0.028,0.1945,0.2985,0.242,0.142,0.0725,0.019,0.0035,0.0,0.0,0.0965,0.3595,0.364,0.136,0.0405,0.0035,0.0,0.0,0.0,0.0
m21_6496.obj,normalized_data/Insect/m21_6496.obj,Insect,1.085,0.02,0.444,3196.464,1.24,0.066,3.893,0.146,0.2015,0.18,0.1485,0.0995,0.0905,0.0645,0.033,0.027,0.0095,0.14,0.2565,0.1935,0.189,0.1185,0.079,0.0205,0.003,0.0,0.0,0.0755,0.236,0.2565,0.243,0.107,0.055,0.02,0.007,0.0,0.0,0.0385,0.2165,0.306,0.236,0.1405,0.0415,0.0185,0.0025,0.0,0.0,0.116,0.3395,0.323,0.1645,0.0495,0.0075,0.0,0.0,0.0,0.0
D00333_6007.obj,normalized_data/Insect/D00333_6007.obj,Insect,0.447,-0.009,0.138,1090.005,1.019,-0.162,31.552,0.176,0.2015,0.167,0.115,0.094,0.071,0.059,0.045,0.051,0.0205,0.075,0.1945,0.227,0.268,0.2105,0.025,0.0,0.0,0.0,0.0,0.0895,0.195,0.279,0.2295,0.1365,0.06,0.0105,0.0,0.0,0.0,0.077,0.2175,0.29,0.247,0.1185,0.042,0.008,0.0,0.0,0.0,0.2,0.4555,0.2815,0.0595,0.0035,0.0,0.0,0.0,0.0,0.0
m3_4549.obj,normalized_data/Insect/m3_4549.obj,Insect,0.801,0.013,0.502,3208.536,1.064,0.065,4.857,0.153,0.214,0.174,0.1405,0.0855,0.072,0.0695,0.053,0.0265,0.012,0.0705,0.248,0.2375,0.2245,0.141,0.0785,0.0,0.0,0.0,0.0,0.0675,0.2355,0.244,0.2255,0.15,0.0595,0.015,0.003,0.0,0.0,0.043,0.2245,0.3085,0.2195,0.1285,0.0595,0.0155,0.001,0.0,0.0,0.0955,0.3975,0.3365,0.126,0.034,0.009,0.0015,0.0,0.0,0.0
m7_8185.obj,normalized_data/Insect/m7_8185.obj,Insect,1.141,0.042,0.331,851.471,1.07,0.34,9.195,0.1575,0.2245,0.1615,0.117,0.105,0.074,0.0695,0.054,0.028,0.009,0.0465,0.186,0.313,0.2115,0.18,0.063,0.0,0.0,0.0,0.0,0.083,0.2555,0.266,0.184,0.118,0.067,0.0255,0.001,0.0,0.0,0.035,0.225,0.3335,0.27,0.119,0.0175,0.0,0.0,0.0,0.0,0.0855,0.397,0.375,0.1315,0.011,0.0,0.0,0.0,0.0,0.0
D00309_6151.obj,normalized_data/Insect/D00309_6151.obj,Insect,0.938,-0.013,0.371,4779.599,1.077,-0.068,5.702,0.1555,0.22,0.16,0.126,0.1055,0.0825,0.072,0.04,0.0275,0.011,0.044,0.2255,0.2845,0.3025,0.1105,0.033,0.0,0.0,0.0,0.0,0.09,0.232,0.2775,0.2055,0.1275,0.0555,0.012,0.0,0.0,0.0,0.037,0.2275,0.3555,0.2205,0.1175,0.0365,0.0055,0.0,0.0,0.0,0.113,0.4025,0.3275,0.124,0.0265,0.006,0.0005,0.0,0.0,0.0
m26_5266.obj,normalized_data/Insect/m26_5266.obj,Insect,0.795,-0.014,0.315,2479.299,1.075,-0.093,6.052,0.124,0.1965,0.19,0.1545,0.115,0.0835,0.0655,0.045,0.0175,0.0085,0.027,0.133,0.3605,0.3105,0.059,0.098,0.012,0.0,0.0,0.0,0.075,0.205,0.2845,0.2495,0.122,0.0465,0.015,0.0025,0.0,0.0,0.105,0.1215,0.3095,0.276,0.1335,0.044,0.009,0.0015,0.0,0.0,0.1565,0.324,0.3025,0.1835,0.0305,0.003,0.0,0.0,0.0,0.0
m20_5954.obj,normalized_data/Insect/m20_5954.obj,Insect,0.963,-0.016,0.375,3410.504,1.149,-0.074,4.074,0.1335,0.2035,0.189,0.1565,0.11,0.081,0.0595,0.038,0.022,0.007,0.0625,0.4075,0.233,0.1325,0.104,0.0505,0.01,0.0,0.0,0.0,0.096,0.2825,0.291,0.1965,0.0845,0.036,0.0125,0.001,0.0,0.0,0.0645,0.2635,0.3265,0.222,0.082,0.0335,0.006,0.002,0.0,0.0,0.1365,0.41,0.306,0.1215,0.0245,0.0015,0.0,0.0,0.0,0.0
D00102_6263.obj,normalized_data/Insect/D00102_6263.obj,Insect,0.852,0.011,0.367,5120.937,1.008,0.078,3.058,0.152,0.2015,0.175,0.134,0.1145,0.089,0.0595,0.0365,0.0235,0.0145,0.006,0.2695,0.4165,0.1995,0.0805,0.028,0.0,0.0,0.0,0.0,0.14,0.2375,0.243,0.2305,0.1155,0.031,0.0025,0.0,0.0,0.0,0.082,0.262,0.3145,0.203,0.101,0.0325,0.005,0.0,0.0,0.0,0.2165,0.376,0.268,0.113,0.0225,0.004,0.0,0.0,0.0,0.0
m8_8181.obj,normalized_data/Insect/m8_8181.obj,Insect,1.786,-0.041,0.36,3454.432,1.195,-0.224,4.951,0.126,0.2135,0.175,0.1415,0.1245,0.0755,0.0615,0.049,0.0245,0.009,0.0675,0.3065,0.3095,0.205,0.0695,0.0275,0.0145,0.0,0.0,0.0,0.088,0.288,0.3075,0.1915,0.083,0.035,0.004,0.0025,0.0005,0.0,0.0415,0.2765,0.367,0.2075,0.08,0.0205,0.0055,0.0015,0.0,0.0,0.1065,0.428,0.346,0.102,0.015,0.002,0.0005,0.0,0.0,0.0
D00786_5767.obj,normalized_data/Insect/D00786_5767.obj,Insect,0.545,-0.007,0.195,3059.854,1.025,-0.075,8.862,0.177,0.206,0.16,0.115,0.09,0.071,0.069,0.0555,0.0445,0.012,0.157,0.2235,0.3385,0.21,0.0435,0.0275,0.0,0.0,0.0,0.0,0.1285,0.287,0.3065,0.183,0.071,0.0195,0.0045,0.0,0.0,0.0,0.085,0.3565,0.333,0.17,0.045,0.01,0.0005,0.0,0.0,0.0,0.2275,0.494,0.231,0.0415,0.0055,0.0005,0.0,0.0,0.0,0.0
D00294_11434.obj,normalized_data/Insect/D00294_11434.obj,Insect,2.123,0.006,0.226,311239.616,1.005,0.06,31.934,0.178,0.195,0.165,0.1255,0.098,0.0795,0.0665,0.0505,0.033,0.009,0.0735,0.19,0.2305,0.3105,0.154,0.0395,0.002,0.0,0.0,0.0,0.0915,0.226,0.256,0.2225,0.128,0.064,0.012,0.0,0.0,0.0,0.0495,0.25,0.352,0.2135,0.0925,0.036,0.0055,0.001,0.0,0.0,0.1795,0.458,0.3105,0.051,0.001,0.0,0.0,0.0,0.0,0.0
D00615_5324.obj,normalized_data/Insect/D00615_5324.obj,Insect,0.781,-0.002,0.488,190468.706,1.0,-0.011,2.98,0.1585,0.1695,0.187,0.1335,0.1265,0.0915,0.0615,0.042,0.02,0.01,0.0,0.2065,0.446,0.198,0.1065,0.0425,0.0005,0.0,0.0,0.0,0.1325,0.2095,0.2215,0.2515,0.1435,0.0375,0.004,0.0,0.0,0.0,0.0875,0.245,0.292,0.208,0.1145,0.043,0.0095,0.0005,0.0,0.0,0.207,0.3625,0.248,0.1365,0.036,0.0095,0.0005,0.0,0.0,0.0
m16_4630.obj,normalized_data/Insect/m16_4630.obj,Insect,0.39,0.007,0.175,1186.44,1.133,0.075,8.496,0.14,0.2165,0.165,0.1355,0.111,0.074,0.074,0.0475,0.026,0.0105,0.1175,0.4705,0.206,0.1095,0.062,0.0215,0.013,0.0,0.0,0.0,0.1435,0.371,0.27,0.1345,0.054,0.02,0.0065,0.0005,0.0,0.0,0.1105,0.385,0.3255,0.134,0.0395,0.005,0.0005,0.0,0.0,0.0,0.2065,0.52,0.239,0.034,0.0005,0.0,0.0,0.0,0.0,0.0
m23_4961.obj,normalized_data/Insect/m23_4961.obj,Insect,0.569,-0.014,0.174,941.047,1.045,-0.135,8.912,0.154,0.2155,0.1695,0.124,0.094,0.081,0.063,0.0545,0.0275,0.017,0.1215,0.369,0.303,0.1095,0.0655,0.0315,0.0,0.0,0.0,0.0,0.1345,0.362,0.2775,0.1395,0.0625,0.0195,0.0045,0.0,0.0,0.0,0.094,0.3645,0.3465,0.1585,0.0305,0.006,0.0,0.0,0.0,0.0,0.1975,0.5155,0.2575,0.029,0.0005,0.0,0.0,0.0,0.0,0.0
D00806_7696.obj,normalized_data/Insect/D00806_7696.obj,Insect,1.666,0.028,0.452,5765.56,1.294,0.108,6.021,0.1345,0.2115,0.1895,0.1455,0.106,0.083,0.0635,0.041,0.021,0.0045,0.0295,0.2145,0.2705,0.211,0.177,0.076,0.0215,0.0,0.0,0.0,0.0635,0.212,0.25,0.2075,0.1595,0.082,0.024,0.0015,0.0,0.0,0.0295,0.1745,0.315,0.249,0.1335,0.0635,0.0285,0.0055,0.0005,0.0005,0.093,0.331,0.34,0.1645,0.0585,0.0105,0.0025,0.0,0.0,0.0
D00672_6845.obj,normalized_data/Insect/D00672_6845.obj,Insect,0.866,0.013,0.25,3584.359,1.035,0.121,11.44,0.1665,0.2225,0.1645,0.12,0.094,0.078,0.0605,0.049,0.0335,0.0115,0.1005,0.262,0.346,0.161,0.0915,0.039,0.0,0.0,0.0,0.0,0.0955,0.274,0.285,0.2125,0.083,0.0425,0.0075,0.0,0.0,0.0,0.0605,0.295,0.3365,0.205,0.085,0.017,0.001,0.0,0.0,0.0,0.163,0.4695,0.287,0.077,0.0035,0.0,0.0,0.0,0.0,0.0
D00884_6663.obj,normalized_data/Insect/D00884_6663.obj,Insect,1.009,0.01,0.363,10226.206,1.107,0.067,4.339,0.135,0.211,0.173,0.131,0.1075,0.099,0.067,0.043,0.0245,0.009,0.0815,0.346,0.342,0.134,0.0825,0.014,0.0,0.0,0.0,0.0,0.1745,0.3525,0.29,0.124,0.048,0.007,0.004,0.0,0.0,0.0,0.11,0.408,0.334,0.117,0.025,0.0045,0.0015,0.0,0.0,0.0,0.2145,0.536,0.2135,0.033,0.0025,0.0005,0.0,0.0,0.0,0.0
m17_4998.obj,normalized_data/Insect/m17_4998.obj,Insect,0.37,0.001,0.186,40104.866,1.021,0.011,11.371,0.163,0.205,0.169,0.1115,0.089,0.0835,0.079,0.0585,0.029,0.0125,0.068,0.3245,0.192,0.219,0.1705,0.026,0.0,0.0,0.0,0.0,0.1145,0.2365,0.282,0.2025,0.0925,0.053,0.019,0.0,0.0,0.0,0.067,0.2435,0.33,0.2445,0.0915,0.019,0.004,0.0005,0.0,0.0,0.139,0.413,0.3365,0.1045,0.007,0.0,0.0,0.0,0.0,0.0
m13_5046.obj,normalized_data/Insect/m13_5046.obj,Insect,0.526,-0.007,0.106,3205.834,1.005,-0.219,79.682,0.2155,0.2035,0.1415,0.1075,0.0875,0.07,0.058,0.0485,0.0375,0.0305,0.156,0.353,0.25,0.151,0.0835,0.0065,0.0,0.0,0.0,0.0,0.18,0.3105,0.276,0.1605,0.0485,0.0215,0.003,0.0,0.0,0.0,0.1605,0.3915,0.2915,0.124,0.0315,0.001,0.0,0.0,0.0,0.0,0.4415,0.505,0.053,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
D00713_6622.obj,normalized_data/Insect/D00713_6622.obj,Insect,1.025,0.047,0.348,494.277,0.984,0.29,5.425,0.1095,0.2085,0.1845,0.1565,0.115,0.086,0.0565,0.0495,0.026,0.008,0.009,0.2015,0.3835,0.262,0.086,0.058,0.0,0.0,0.0,0.0,0.069,0.214,0.3355,0.206,0.121,0.047,0.0075,0.0,0.0,0.0,0.037,0.177,0.3255,0.293,0.133,0.0275,0.0065,0.0005,0.0,0.0,0.072,0.3435,0.3805,0.167,0.036,0.001,0.0,0.0,0.0,0.0
m12_4946.obj,normalized_data/Insect/m12_4946.obj,Insect,0.58,-0.007,0.196,4229.21,1.004,-0.087,9.601,0.1765,0.222,0.156,0.102,0.078,0.0745,0.0895,0.0585,0.0285,0.0145,0.042,0.3765,0.1815,0.1775,0.1675,0.055,0.0,0.0,0.0,0.0,0.1105,0.2565,0.2555,0.1995,0.0985,0.0625,0.0165,0.0005,0.0,0.0,0.067,0.256,0.3215,0.2215,0.108,0.024,0.002,0.0,0.0,0.0,0.152,0.434,0.3025,0.101,0.0105,0.0,0.0,0.0,0.0,0.0
