class,num_vertices,num_faces,face_types,bounding_box
Insect,1362,2628,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.89, 0.98, 0.22]}"
Insect,1292,2580,only triangles,"{'min': [-0.86, -0.53, -0.11], 'max': [0.81, 0.63, 0.15]}"
Insect,2572,5046,only triangles,"{'min': [-0.82, -0.52, -0.64], 'max': [0.89, 0.57, 0.47]}"
Insect,368,724,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.51, 0.1]}"
Insect,420,972,only triangles,"{'min': [-1.03, -0.27, -0.02], 'max': [0.94, 0.24, 0.02]}"
Insect,9184,17998,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.67, 0.7, 0.98]}"
Insect,3495,6667,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.62, 0.52, 0.98]}"
Insect,7638,15145,only triangles,"{'min': [-1.04, -0.7, -0.3], 'max': [0.8, 0.42, 0.47]}"
Insect,368,724,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.5]}"
Insect,309,578,only triangles,"{'min': [-0.82, -0.73, -0.38], 'max': [0.66, 0.72, 0.45]}"
Insect,312,570,only triangles,"{'min': [-0.83, -0.9, -0.21], 'max': [0.84, 0.86, 0.15]}"
Insect,891,1678,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.72, 0.77]}"
Insect,486,912,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.93, 0.56, 0.98]}"
Insect,255,410,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.42, 0.38, 0.98]}"
Insect,2666,5162,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.27, 0.72]}"
Insect,1548,2980,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.29, 0.65]}"
Insect,298,492,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.64, 0.55, 0.98]}"
Insect,5266,10274,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.85, 0.42, 0.98]}"
Insect,253,458,only triangles,"{'min': [-0.99, -0.9, -0.25], 'max': [0.78, 0.99, 0.32]}"
Insect,3339,5490,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.35, 0.64]}"
Insect,1249,2494,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.82, 0.5, 0.98]}"
Insect,163,284,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.43, 0.86]}"
Insect,4250,8324,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.79]}"
Insect,1624,3042,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.93]}"
Insect,2546,5088,only triangles,"{'min': [-0.85, -0.77, -0.42], 'max': [0.84, 0.61, 0.59]}"
Insect,346,556,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.52, 0.83]}"
Insect,1548,2980,only triangles,"{'min': [-0.92, -0.59, -0.15], 'max': [0.93, 0.63, 0.4]}"
Insect,423,698,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.48, 0.98, 0.83]}"
Insect,462,876,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.48, 0.43, 0.98]}"
Insect,2762,5295,only triangles,"{'min': [-0.84, -0.76, -0.2], 'max': [0.55, 0.79, 0.12]}"
Insect,333,620,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.43, 0.68]}"
Insect,6170,9662,only triangles,"{'min': [-0.85, -0.58, -0.4], 'max': [0.73, 0.67, 0.47]}"
Insect,557,894,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.83, 0.98, 0.48]}"
Insect,2572,5046,only triangles,"{'min': [-0.89, -0.58, -0.47], 'max': [0.81, 0.55, 0.62]}"
Insect,5090,9732,only triangles,"{'min': [-1.04, -0.57, -0.6], 'max': [0.65, 0.79, 0.26]}"
Insect,4173,15702,only triangles,"{'min': [-0.98, -0.63, -0.73], 'max': [0.71, 0.43, 0.39]}"
Insect,314,572,only triangles,"{'min': [-0.85, -0.58, -0.39], 'max': [1.05, 0.52, 0.32]}"
Insect,1728,6808,only triangles,"{'min': [-0.89, -0.86, -0.27], 'max': [0.74, 0.44, 0.58]}"
Insect,299,554,only triangles,"{'min': [-1.04, -0.75, -0.2], 'max': [0.76, 0.65, 0.33]}"
Insect,3334,5490,only triangles,"{'min': [-1.05, -0.57, -0.3], 'max': [0.75, 0.71, 0.35]}"
Insect,329,550,only triangles,"{'min': [-1.14, -0.78, -0.25], 'max': [0.58, 0.71, 0.37]}"
Insect,22657,41626,only triangles,"{'min': [-0.62, -0.65, -0.4], 'max': [1.11, 0.86, 0.47]}"
Insect,22663,41626,only triangles,"{'min': [-0.6, -0.66, -0.38], 'max': [1.05, 0.8, 0.46]}"
Bookset,2208,14844,only triangles,"{'min': [4.97, 3.42, 0.37], 'max': [5.19, 4.39, 0.74]}"
Bookset,240,1524,only triangles,"{'min': [0.0, 0.0, -0.23], 'max': [13.52, 7.63, 7.39]}"
Bookset,320,816,only triangles,"{'min': [-0.05, 0.21, 0.0], 'max': [0.22, 0.67, 0.28]}"
Bookset,360,918,only triangles,"{'min': [3.39, 0.45, -0.0], 'max': [3.89, 0.71, 0.28]}"
Bookset,160,936,only triangles,"{'min': [0.0, 0.0, 0.0], 'max': [0.27, 0.29, 0.35]}"
Bookset,1645,10185,only triangles,"{'min': [-0.32, -0.22, -0.01], 'max': [10.18, 4.38, 5.04]}"
Bookset,1203,6861,only triangles,"{'min': [0.0, 0.0, 0.0], 'max': [0.22, 0.31, 0.27]}"
Bookset,624,2544,only triangles,"{'min': [0.0, 0.0, 0.0], 'max': [0.53, 0.3, 0.3]}"
Bookset,1614,9798,only triangles,"{'min': [0.17, 0.06, 1.62], 'max': [0.33, 0.45, 1.89]}"
Bookset,108,624,only triangles,"{'min': [0.0, -0.02, 0.0], 'max': [0.2, 0.11, 0.15]}"
Bookset,668,2373,only triangles,"{'min': [-1.91, 0.68, -0.06], 'max': [-1.67, 0.89, 0.22]}"
Bookset,1203,6861,only triangles,"{'min': [0.27, 0.23, 0.0], 'max': [0.58, 0.35, 0.17]}"
Bookset,140,780,only triangles,"{'min': [0.0, 0.0, 0.0], 'max': [0.28, 0.29, 0.32]}"
Bookset,187,1020,only triangles,"{'min': [-0.11, 0.01, 0.0], 'max': [0.07, 0.25, 0.24]}"
Bookset,444,3156,only triangles,"{'min': [0.0, 0.0, 0.0], 'max': [0.42, 0.26, 0.27]}"
Bookset,891,3231,only triangles,"{'min': [1.04, -0.22, -0.0], 'max': [2.96, 0.97, 1.73]}"
Bookset,206,1152,only triangles,"{'min': [0.0, -0.0, 0.0], 'max': [0.42, 0.31, 0.35]}"
Bookset,247,1557,only triangles,"{'min': [-0.0, -0.0, 0.0], 'max': [0.19, 0.23, 0.33]}"
Bookset,2393,14484,only triangles,"{'min': [-0.0, -2.41, 0.04], 'max': [0.16, -1.68, 0.32]}"
Bookset,2291,7149,only triangles,"{'min': [2.26, 2.04, 0.0], 'max': [2.54, 2.33, 0.32]}"
Tree,1366,1892,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.85, 0.9]}"
Tree,31668,18412,only triangles,"{'min': [-0.66, -0.31, -0.34], 'max': [0.7, 0.37, 0.31]}"
Tree,35,31,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.42, 0.98, 0.03]}"
Tree,82,140,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.46, 0.98, 0.44]}"
Tree,835,1376,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.57, 0.98, 0.56]}"
Tree,18418,17436,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.91, 0.98, 0.97]}"
Tree,28407,35761,only triangles,"{'min': [-0.73, -0.75, -0.74], 'max': [0.69, 0.67, 0.75]}"
Tree,1303,1445,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.97, 0.98, 0.95]}"
Tree,42566,36512,only triangles,"{'min': [-0.67, -0.37, -0.33], 'max': [1.19, 0.36, 0.36]}"
Tree,36734,40642,only triangles,"{'min': [-0.77, -0.81, -0.92], 'max': [0.97, 0.8, 0.83]}"
Tree,2457,3814,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.56, 0.98, 0.64]}"
Tree,5482,10928,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.69, 0.76]}"
Tree,32363,46364,only triangles,"{'min': [-0.72, -0.86, -0.69], 'max': [0.85, 0.84, 0.98]}"
Tree,155,260,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.29, 0.98, 0.28]}"
Tree,337,638,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.75, 0.93]}"
Tree,6247,6856,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.32, 0.98, 0.33]}"
Tree,1936,1697,only triangles,"{'min': [-0.41, -0.21, -0.21], 'max': [0.97, 0.23, 0.22]}"
Tree,1197,1954,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.88, 0.98, 0.79]}"
Tree,724,696,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.27, 0.98, 0.4]}"
Tree,5410,4629,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.58, 0.98, 0.54]}"
Tree,58763,54644,only triangles,"{'min': [-0.83, -0.76, -0.78], 'max': [0.7, 0.86, 0.82]}"
Tree,49630,51077,only triangles,"{'min': [-0.83, -0.79, -0.73], 'max': [0.7, 0.8, 0.86]}"
Tree,27500,41792,only triangles,"{'min': [-1.13, -0.85, -0.52], 'max': [0.68, 0.87, 1.05]}"
Tree,17948,25996,only triangles,"{'min': [-0.83, -0.63, -0.38], 'max': [0.59, 0.98, 0.54]}"
Tree,12531,7366,only triangles,"{'min': [-1.08, -0.86, -0.59], 'max': [0.62, 0.82, 0.7]}"
Tree,36867,28551,only triangles,"{'min': [-0.64, -0.72, -0.44], 'max': [0.66, 0.62, 0.53]}"
Tree,52078,73042,only triangles,"{'min': [-0.59, -0.38, -0.39], 'max': [0.92, 0.4, 0.39]}"
Tree,11385,4891,only triangles,"{'min': [-1.04, -0.61, -0.52], 'max': [0.94, 0.58, 0.62]}"
Tree,29340,28868,only triangles,"{'min': [-0.93, -1.0, -0.89], 'max': [0.73, 0.84, 0.91]}"
Tree,19248,10908,only triangles,"{'min': [-0.74, -0.38, -0.4], 'max': [0.86, 0.4, 0.37]}"
Tree,23696,23680,only triangles,"{'min': [-0.68, -0.5, -0.51], 'max': [0.59, 0.53, 0.53]}"
Tree,29924,29804,only triangles,"{'min': [-0.89, -0.63, -0.55], 'max': [0.98, 0.83, 0.82]}"
Tree,2783,3692,only triangles,"{'min': [-1.08, -0.71, -0.52], 'max': [0.39, 0.47, 0.45]}"
Tree,21856,13758,only triangles,"{'min': [-0.94, -0.5, -0.49], 'max': [0.87, 0.48, 0.5]}"
Tree,574,1112,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.36, 0.98, 0.64]}"
Tree,334,692,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.6, 0.9, 0.98]}"
Tree,170,264,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.58, 0.98, 0.56]}"
Tree,832,1471,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.7, 0.98, 0.72]}"
Tree,470,932,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.78, 0.98, 0.74]}"
Tree,1058,1756,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.76, 0.98, 0.63]}"
Tree,3441,3701,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.91, 0.86, 0.98]}"
Tree,1356,1296,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.48, 0.98, 0.54]}"
Tree,1904,2042,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.47, 0.98, 0.37]}"
Tree,1194,1134,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.31, 0.98, 0.43]}"
Tree,2681,1800,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.52, 0.98, 0.54]}"
Tree,3007,1610,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.54, 0.98, 0.52]}"
Tree,1086,1812,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.95, 0.7, 0.98]}"
RectangleTable,158,214,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.46, 0.98, 0.46]}"
RectangleTable,104,188,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.68, 0.9, 0.98]}"
RectangleTable,679,1206,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.68, 0.58, 0.98]}"
RectangleTable,288,348,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.38, 0.5]}"
RectangleTable,2229,4413,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.37, 0.45]}"
RectangleTable,1768,3419,only triangles,"{'min': [-0.6, -0.59, -0.8], 'max': [0.77, 0.5, 0.37]}"
RectangleTable,36,60,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.5, 0.5]}"
RectangleTable,178,312,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.73, 0.35, 0.98]}"
RectangleTable,352,1136,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.55, 0.76]}"
RectangleTable,128,152,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.41, 0.98, 0.41]}"
RectangleTable,180,340,only triangles,"{'min': [-0.62, -0.63, -0.69], 'max': [0.46, 0.49, 0.49]}"
RectangleTable,190,360,only triangles,"{'min': [-0.86, -0.54, -0.9], 'max': [0.63, 0.7, 0.13]}"
RectangleTable,204,422,only triangles,"{'min': [-0.71, -0.37, -0.1], 'max': [0.73, 0.49, 0.62]}"
RectangleTable,48,92,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.57, 0.44, 0.98]}"
RectangleTable,60,184,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.9, 0.98, 0.89]}"
RectangleTable,839,1648,only triangles,"{'min': [-0.78, -0.24, -0.27], 'max': [0.79, 0.7, 0.47]}"
RectangleTable,48,67,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.84, 0.98]}"
RectangleTable,40,60,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.64, 0.5]}"
RectangleTable,190,360,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.74, 0.76]}"
RectangleTable,528,744,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.26, 0.38]}"
RectangleTable,68,88,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.36, 0.43]}"
RectangleTable,576,956,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.29, 0.38]}"
RectangleTable,198,372,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.6, 0.44]}"
RectangleTable,44,52,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.66, 0.97]}"
RectangleTable,511,1018,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.6, 0.57, 0.98]}"
RectangleTable,36,60,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.56, 0.5]}"
RectangleTable,56,84,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.35, 0.98]}"
RectangleTable,12460,25140,only triangles,"{'min': [-0.98, -1.05, -0.2], 'max': [0.98, 0.9, 0.26]}"
RectangleTable,96,172,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.41, 0.66]}"
RectangleTable,2003,6267,only triangles,"{'min': [-1.06, -0.87, -0.08], 'max': [0.72, 0.91, 0.59]}"
RectangleTable,3713,6676,only triangles,"{'min': [-0.75, -0.61, -0.23], 'max': [0.6, 0.67, 0.77]}"
RectangleTable,95,166,only triangles,"{'min': [-1.08, -0.35, -0.39], 'max': [0.79, 0.43, 0.16]}"
RectangleTable,2136,3688,only triangles,"{'min': [-0.56, -0.25, -0.27], 'max': [0.69, 0.83, 0.28]}"
RectangleTable,614,1052,only triangles,"{'min': [-0.71, -0.74, -0.71], 'max': [0.59, 0.45, 0.76]}"
RectangleTable,1245,2409,only triangles,"{'min': [-0.54, -0.67, -0.76], 'max': [0.69, 0.61, 0.32]}"
RectangleTable,116,136,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.95, 0.66]}"
RectangleTable,2973,8352,only triangles,"{'min': [-0.94, -0.84, -0.05], 'max': [0.75, 0.85, 0.64]}"
RectangleTable,80,120,only triangles,"{'min': [-0.74, -0.61, -0.27], 'max': [1.16, 0.48, 0.5]}"
RectangleTable,72,121,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.71, 0.65, 0.98]}"
RectangleTable,1005,1726,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.57, 0.86]}"
RectangleTable,7120,13672,only triangles,"{'min': [-0.88, -0.58, -0.64], 'max': [0.76, 0.38, 0.3]}"
RectangleTable,1016,1996,only triangles,"{'min': [-0.88, -0.66, -0.51], 'max': [0.63, 0.72, 0.84]}"
RectangleTable,190,360,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.35, 0.58]}"
RectangleTable,508,979,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.57, 0.65]}"
RectangleTable,78,124,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.86, 0.98, 0.9]}"
RectangleTable,189,334,only triangles,"{'min': [-0.92, -0.47, -0.15], 'max': [0.83, 0.59, 0.37]}"
RectangleTable,1042,2706,only triangles,"{'min': [-1.15, -0.92, -0.03], 'max': [0.65, 0.88, 0.51]}"
RectangleTable,276,556,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.38, 0.5]}"
RectangleTable,996,2432,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.46, 0.71]}"
RectangleTable,174,288,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.32, 0.55]}"
RectangleTable,184,292,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.92, 0.57]}"
RectangleTable,340,616,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.69, 0.34]}"
RectangleTable,320,534,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.89, 0.98, 0.89]}"
RectangleTable,122,216,only triangles,"{'min': [-0.82, -0.42, -0.48], 'max': [0.65, 0.53, 0.44]}"
RectangleTable,426,736,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.98, 0.68]}"
RectangleTable,288,348,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.38, 0.5]}"
RectangleTable,96,172,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.98, 0.98]}"
RectangleTable,128,152,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.62, 0.26]}"
RectangleTable,144,160,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.86, 0.98, 0.86]}"
RectangleTable,598,1072,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.81, 0.53]}"
RectangleTable,80,100,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.43, 0.98]}"
RectangleTable,60,86,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.66, 0.34]}"
RectangleTable,80,100,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.33, 0.62]}"
RectangleTable,512,960,only triangles,"{'min': [-0.86, -0.64, -0.57], 'max': [0.95, 0.37, 0.48]}"
Sword,318,620,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.15, 0.98, 0.09]}"
Sword,2993,7470,only triangles,"{'min': [-0.72, -0.05, -0.03], 'max': [0.94, 0.09, 0.03]}"
Sword,6595,13168,only triangles,"{'min': [-1.07, -0.16, -0.03], 'max': [0.46, 0.18, 0.05]}"
Sword,526,1036,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.2, 0.07, 0.98]}"
Sword,5497,11609,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.3, 0.14, 0.98]}"
Sword,6598,13168,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.23, 0.08, 0.98]}"
Sword,275,530,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.18, 0.1, 0.98]}"
Sword,2903,5667,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.33, 0.98, 0.11]}"
Sword,9880,19712,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.1, 0.27, 0.98]}"
Sword,8583,16488,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.12, 0.98, 0.24]}"
Sword,180,368,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.16, 0.98, 0.15]}"
Sword,624,1228,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.2, 0.19, 0.98]}"
Sword,3694,12652,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.18, 0.98, 0.1]}"
Sword,800,1504,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.46, 0.98, 0.11]}"
Sword,196,259,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.11, 0.98, 0.12]}"
Sword,13257,26446,only triangles,"{'min': [-0.31, -0.18, -0.08], 'max': [1.08, 0.19, 0.08]}"
Sword,14621,29204,only triangles,"{'min': [-1.21, -0.21, -0.06], 'max': [0.3, 0.13, 0.05]}"
Sword,361,710,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.2, 0.07]}"
Sword,3084,6142,only triangles,"{'min': [-1.22, -0.09, -0.11], 'max': [0.24, 0.11, 0.1]}"
Sword,1429,2976,only triangles,"{'min': [-0.75, -0.15, -0.1], 'max': [0.91, 0.14, 0.1]}"
Sword,176,648,only triangles,"{'min': [-0.96, -0.13, -0.04], 'max': [0.76, 0.11, 0.03]}"
Sword,3694,12652,only triangles,"{'min': [-1.05, -0.11, -0.04], 'max': [0.39, 0.11, 0.07]}"
Sword,621,1238,only triangles,"{'min': [-0.82, -0.35, -0.09], 'max': [0.92, 0.38, 0.1]}"
Sword,5573,10922,only triangles,"{'min': [-0.6, -0.15, -0.03], 'max': [0.99, 0.14, 0.04]}"
Sword,186,344,only triangles,"{'min': [-1.15, -0.15, -0.05], 'max': [0.69, 0.23, 0.06]}"
Sword,1091,3110,only triangles,"{'min': [-0.94, -0.17, -0.16], 'max': [0.67, 0.16, 0.17]}"
Sword,1143,2296,only triangles,"{'min': [-0.53, -0.17, -0.04], 'max': [1.31, 0.18, 0.02]}"
Sword,5076,10136,only triangles,"{'min': [-1.06, -0.22, -0.04], 'max': [0.21, 0.22, 0.04]}"
Sword,5856,11648,only triangles,"{'min': [-0.91, -0.15, -0.03], 'max': [0.57, 0.15, 0.03]}"
Sword,960,1900,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.04, 0.31, 0.98]}"
Sword,5497,11609,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.3, 0.14, 0.98]}"
Sword,3971,7297,only triangles,"{'min': [-1.26, -0.23, -0.07], 'max': [0.33, 0.19, 0.07]}"
Sword,15478,30816,only triangles,"{'min': [-0.47, -0.06, -0.04], 'max': [0.98, 0.07, 0.03]}"
Sword,526,1036,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.2, 0.07, 0.98]}"
Sword,800,1504,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.42, 0.98, 0.1]}"
Sword,4757,9573,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.21, 0.1, 0.98]}"
Sword,1005,2000,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.12, 0.12, 0.98]}"
Sword,178,360,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.89, 0.98, 0.2]}"
Sword,1977,3938,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.12, 0.98, 0.38]}"
Sword,588,1100,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.05, 0.12, 0.98]}"
Sword,18888,37283,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.16, 0.05, 0.98]}"
Sword,327,602,only triangles,"{'min': [-1.09, -0.16, -0.08], 'max': [0.9, 0.2, 0.08]}"
Sword,1023,2000,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.1, 0.14, 0.98]}"
Sword,4325,8628,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.27, 0.98, 0.07]}"
Sword,3949,7505,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.29, 0.98, 0.11]}"
